"Country or Area","Year(s)","GENDER","Value","Value Footnotes"
"Croatia","2012","Both sexes","78",""
"Croatia","2000","Male","71",""
"Croatia","2000","Female","78",""
"Croatia","2000","Both sexes","74",""
"Croatia","1990","Male","69",""
"Croatia","1990","Female","76",""
"Croatia","1990","Both sexes","73",""
"Cuba","2012","Male","76",""
"Cuba","2012","Female","81",""
"Cuba","2012","Both sexes","79",""
"Cuba","2000","Male","75",""
"Cuba","2000","Female","79",""
"Cuba","2000","Both sexes","77",""
"Cuba","1990","Male","73",""
"Cuba","1990","Female","76",""
"Cuba","1990","Both sexes","74",""
"Cyprus","2012","Male","80",""
"Cyprus","2012","Female","84",""
"Cyprus","2012","Both sexes","82",""
"Cyprus","2000","Male","75",""
"Cyprus","2000","Female","79",""
"Cyprus","2000","Both sexes","77",""
"Cyprus","1990","Male","74",""
"Cyprus","1990","Female","79",""
"Cyprus","1990","Both sexes","76",""
"Czech Republic","2012","Male","75",""
"Czech Republic","2012","Female","81",""
"Czech Republic","2012","Both sexes","78",""
"Czech Republic","2000","Male","72",""
"Czech Republic","2000","Female","78",""
"Czech Republic","2000","Both sexes","75",""
"Czech Republic","1990","Male","68",""
"Czech Republic","1990","Female","75",""
"Czech Republic","1990","Both sexes","71",""
"Democratic People's Republic of Korea","2012","Male","66",""
"Democratic People's Republic of Korea","2012","Female","73",""
"Democratic People's Republic of Korea","2012","Both sexes","70",""
"Democratic People's Republic of Korea","2000","Male","60",""
"Democratic People's Republic of Korea","2000","Female","69",""
"Democratic People's Republic of Korea","2000","Both sexes","65",""
"Democratic People's Republic of Korea","1990","Male","66",""
"Democratic People's Republic of Korea","1990","Female","73",""
"Democratic People's Republic of Korea","1990","Both sexes","70",""
"Democratic Republic of the Congo","2012","Male","50",""
"Democratic Republic of the Congo","2012","Female","53",""
"Democratic Republic of the Congo","2012","Both sexes","52",""
"Democratic Republic of the Congo","2000","Male","47",""
"Democratic Republic of the Congo","2000","Female","50",""
"Democratic Republic of the Congo","2000","Both sexes","48",""
"Democratic Republic of the Congo","1990","Male","48",""
"Democratic Republic of the Congo","1990","Female","51",""
"Democratic Republic of the Congo","1990","Both sexes","49",""
"Denmark","2012","Male","78",""
"Denmark","2012","Female","82",""
"Denmark","2012","Both sexes","80",""
"Denmark","2000","Male","75",""
"Denmark","2000","Female","79",""
"Denmark","2000","Both sexes","77",""
"Denmark","1990","Male","72",""
"Denmark","1990","Female","78",""
"Denmark","1990","Both sexes","75",""
"Djibouti","2012","Male","60",""
"Djibouti","2012","Female","63",""
"Djibouti","2012","Both sexes","61",""
"Djibouti","2000","Male","55",""
"Djibouti","2000","Female","59",""
"Djibouti","2000","Both sexes","57",""
"Djibouti","1990","Male","55",""
"Djibouti","1990","Female","59",""
"Djibouti","1990","Both sexes","57",""
"Dominica","2012","Male","72",""
"Dominica","2012","Female","77",""
"Dominica","2012","Both sexes","75",""
"Dominica","2000","Male","73",""
"Dominica","2000","Female","76",""
"Dominica","2000","Both sexes","74",""
"Dominica","1990","Male","72",""
"Dominica","1990","Female","76",""
"Dominica","1990","Both sexes","74",""
"Dominican Republic","2012","Male","76",""
"Dominican Republic","2012","Female","78",""
"Dominican Republic","2012","Both sexes","77",""
"Dominican Republic","2000","Male","72",""
"Dominican Republic","2000","Female","74",""
"Dominican Republic","2000","Both sexes","73",""
"Dominican Republic","1990","Male","68",""
"Dominican Republic","1990","Female","70",""
"Dominican Republic","1990","Both sexes","69",""
"Ecuador","2012","Male","73",""
"Ecuador","2012","Female","78",""
"Ecuador","2012","Both sexes","75",""
"Ecuador","2000","Male","70",""
"Ecuador","2000","Female","76",""
"Ecuador","2000","Both sexes","73",""
"Ecuador","1990","Male","67",""
"Ecuador","1990","Female","72",""
"Ecuador","1990","Both sexes","69",""
"Egypt","2012","Male","69",""
"Egypt","2012","Female","74",""
"Egypt","2012","Both sexes","71",""
"Egypt","2000","Male","66",""
"Egypt","2000","Female","71",""
"Egypt","2000","Both sexes","68",""
"Egypt","1990","Male","63",""
"Egypt","1990","Female","67",""
