"Country or Area","Year(s)","GENDER","Value","Value Footnotes"
"Thailand","1990","Male","66",""
"Thailand","1990","Female","72",""
"Thailand","1990","Both sexes","69",""
"The former Yugoslav Republic of Macedonia","2012","Male","73",""
"The former Yugoslav Republic of Macedonia","2012","Female","78",""
"The former Yugoslav Republic of Macedonia","2012","Both sexes","76",""
"The former Yugoslav Republic of Macedonia","2000","Male","71",""
"The former Yugoslav Republic of Macedonia","2000","Female","76",""
"The former Yugoslav Republic of Macedonia","2000","Both sexes","73",""
"The former Yugoslav Republic of Macedonia","1990","Male","70",""
"The former Yugoslav Republic of Macedonia","1990","Female","75",""
"The former Yugoslav Republic of Macedonia","1990","Both sexes","72",""
"Timor-Leste","2012","Male","65",""
"Timor-Leste","2012","Female","68",""
"Timor-Leste","2012","Both sexes","66",""
"Timor-Leste","2000","Male","58",""
"Timor-Leste","2000","Female","60",""
"Timor-Leste","2000","Both sexes","59",""
"Timor-Leste","1990","Male","48",""
"Timor-Leste","1990","Female","51",""
"Timor-Leste","1990","Both sexes","50",""
"Togo","2012","Male","57",""
"Togo","2012","Female","59",""
"Togo","2012","Both sexes","58",""
"Togo","2000","Male","54",""
"Togo","2000","Female","56",""
"Togo","2000","Both sexes","55",""
"Togo","1990","Male","54",""
"Togo","1990","Female","57",""
"Togo","1990","Both sexes","55",""
"Tonga","2012","Male","74",""
"Tonga","2012","Female","69",""
"Tonga","2012","Both sexes","71",""
"Tonga","2000","Male","68",""
"Tonga","2000","Female","71",""
"Tonga","2000","Both sexes","69",""
"Tonga","1990","Male","64",""
"Tonga","1990","Female","74",""
"Tonga","1990","Both sexes","68",""
"Trinidad and Tobago","2012","Male","67",""
"Trinidad and Tobago","2012","Female","74",""
"Trinidad and Tobago","2012","Both sexes","70",""
"Trinidad and Tobago","2000","Male","66",""
"Trinidad and Tobago","2000","Female","73",""
"Trinidad and Tobago","2000","Both sexes","69",""
"Trinidad and Tobago","1990","Male","65",""
"Trinidad and Tobago","1990","Female","71",""
"Trinidad and Tobago","1990","Both sexes","68",""
"Tunisia","2012","Male","74",""
"Tunisia","2012","Female","78",""
"Tunisia","2012","Both sexes","76",""
"Tunisia","2000","Male","71",""
"Tunisia","2000","Female","75",""
"Tunisia","2000","Both sexes","73",""
"Tunisia","1990","Male","69",""
"Tunisia","1990","Female","72",""
"Tunisia","1990","Both sexes","70",""
"Turkey","2012","Male","72",""
"Turkey","2012","Female","78",""
"Turkey","2012","Both sexes","75",""
"Turkey","2000","Male","67",""
"Turkey","2000","Female","74",""
"Turkey","2000","Both sexes","70",""
"Turkey","1990","Male","62",""
"Turkey","1990","Female","68",""
"Turkey","1990","Both sexes","65",""
"Turkmenistan","2012","Male","60",""
"Turkmenistan","2012","Female","67",""
"Turkmenistan","2012","Both sexes","63",""
"Turkmenistan","2000","Male","58",""
"Turkmenistan","2000","Female","65",""
"Turkmenistan","2000","Both sexes","62",""
"Turkmenistan","1990","Male","59",""
"Turkmenistan","1990","Female","65",""
"Turkmenistan","1990","Both sexes","62",""
"Tuvalu","2012","Male","66",""
"Tuvalu","2012","Female","70",""
"Tuvalu","2012","Both sexes","68",""
"Tuvalu","2000","Male","62",""
"Tuvalu","2000","Female","66",""
"Tuvalu","2000","Both sexes","64",""
"Tuvalu","1990","Male","59",""
"Tuvalu","1990","Female","64",""
"Tuvalu","1990","Both sexes","62",""
"Uganda","2012","Male","56",""
"Uganda","2012","Female","58",""
"Uganda","2012","Both sexes","57",""
"Uganda","2000","Male","44",""
"Uganda","2000","Female","46",""
"Uganda","2000","Both sexes","45",""
"Uganda","1990","Male","44",""
"Uganda","1990","Female","49",""
"Uganda","1990","Both sexes","47",""
"Ukraine","2012","Male","66",""
"Ukraine","2012","Female","76",""
"Ukraine","2012","Both sexes","71",""
"Ukraine","2000","Male","62",""
"Ukraine","2000","Female","73",""
"Ukraine","2000","Both sexes","68",""
"Ukraine","1990","Male","65",""
"Ukraine","1990","Female","75",""
"Ukraine","1990","Both sexes","70",""
"United Arab Emirates","2012","Male","76",""
"United Arab Emirates","2012","Female","78",""
"United Arab Emirates","2012","Both sexes","76",""
"United Arab Emirates","2000","Male","73",""
"United Arab Emirates","2000","Female","75",""
"United Arab Emirates","2000","Both sexes","74",""
"United Arab Emirates","1990","Male","71",""
"United Arab Emirates","1990","Female","73",""
"United Arab Emirates","1990","Both sexes","72",""
"United Kingdom","2012","Male","79",""
"United Kingdom","2012","Female","83",""
"United Kingdom","2012","Both sexes","81",""
"United Kingdom","2000","Male","76",""
"United Kingdom","2000","Female","80",""
"United Kingdom","2000","Both sexes","78",""
"United Kingdom","1990","Male","73",""
"United Kingdom","1990","Female","79",""
"United Kingdom","1990","Both sexes","76",""
"United Republic of Tanzania","2012","Male","59",""
"United Republic of Tanzania","2012","Female","63",""
"United Republic of Tanzania","2012","Both sexes","61",""
"United Republic of Tanzania","2000","Male","50",""
"United Republic of Tanzania","2000","Female","51",""
"United Republic of Tanzania","2000","Both sexes","50",""
"United Republic of Tanzania","1990","Male","49",""
"United Republic of Tanzania","1990","Female","52",""
"United Republic of Tanzania","1990","Both sexes","51",""
"United States of America","2012","Male","76",""
"United States of America","2012","Female","81",""
"United States of America","2012","Both sexes","79",""
"United States of America","2000","Male","74",""
"United States of America","2000","Female","80",""
"United States of America","2000","Both sexes","77",""
"United States of America","1990","Male","72",""
"United States of America","1990","Female","79",""
"United States of America","1990","Both sexes","75",""
"Uruguay","2012","Male","73",""
"Uruguay","2012","Female","81",""
"Uruguay","2012","Both sexes","77",""
"Uruguay","2000","Male","71",""
"Uruguay","2000","Female","79",""
"Uruguay","2000","Both sexes","75",""
"Uruguay","1990","Male","69",""
"Uruguay","1990","Female","76",""
"Uruguay","1990","Both sexes","73",""
"Uzbekistan","2012","Male","67",""
"Uzbekistan","2012","Female","72",""
"Uzbekistan","2012","Both sexes","69",""
"Uzbekistan","2000","Male","63",""
"Uzbekistan","2000","Female","69",""
"Uzbekistan","2000","Both sexes","66",""
"Uzbekistan","1990","Male","63",""
"Uzbekistan","1990","Female","70",""
"Uzbekistan","1990","Both sexes","67",""
"Vanuatu","2012","Male","70",""
"Vanuatu","2012","Female","74",""
"Vanuatu","2012","Both sexes","72",""
"Vanuatu","2000","Male","67",""
"Vanuatu","2000","Female","71",""
"Vanuatu","2000","Both sexes","69",""
"Vanuatu","1990","Male","64",""
"Vanuatu","1990","Female","67",""
"Vanuatu","1990","Both sexes","66",""
"Venezuela (Bolivarian Republic of)","2012","Male","72",""
"Venezuela (Bolivarian Republic of)","2012","Female","80",""
"Venezuela (Bolivarian Republic of)","2012","Both sexes","76",""
"Venezuela (Bolivarian Republic of)","2000","Male","71",""
"Venezuela (Bolivarian Republic of)","2000","Female","77",""
"Venezuela (Bolivarian Republic of)","2000","Both sexes","74",""
"Venezuela (Bolivarian Republic of)","1990","Male","70",""
"Venezuela (Bolivarian Republic of)","1990","Female","74",""
"Venezuela (Bolivarian Republic of)","1990","Both sexes","72",""
"Viet Nam","2012","Male","71",""
"Viet Nam","2012","Female","80",""
"Viet Nam","2012","Both sexes","76",""
"Viet Nam","2000","Male","69",""
"Viet Nam","2000","Female","78",""
"Viet Nam","2000","Both sexes","73",""
"Viet Nam","1990","Male","66",""
"Viet Nam","1990","Female","75",""
"Viet Nam","1990","Both sexes","70",""
"Yemen","2012","Male","62",""
"Yemen","2012","Female","65",""
"Yemen","2012","Both sexes","64",""
"Yemen","2000","Male","59",""
"Yemen","2000","Female","62",""
"Yemen","2000","Both sexes","61",""
"Yemen","1990","Male","56",""
"Yemen","1990","Female","59",""
"Yemen","1990","Both sexes","58",""
"Zambia","2012","Male","55",""
"Zambia","2012","Female","58",""
"Zambia","2012","Both sexes","57",""
"Zambia","2000","Male","40",""
"Zambia","2000","Female","43",""
"Zambia","2000","Both sexes","41",""
"Zambia","1990","Male","40",""
"Zambia","1990","Female","47",""
"Zambia","1990","Both sexes","43",""
"Zimbabwe","2012","Male","56",""
"Zimbabwe","2012","Female","60",""
"Zimbabwe","2012","Both sexes","58",""
"Zimbabwe","2000","Male","42",""
"Zimbabwe","2000","Female","42",""
"Zimbabwe","2000","Both sexes","42",""
"Zimbabwe","1990","Male","60",""
"Zimbabwe","1990","Female","64",""
"Zimbabwe","1990","Both sexes","62",""

