"Data Source","World Development Indicators",

"Last Updated Date","2018-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Maldives","MDV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5390","5810","6250","6680","7050","7370","7220","7690","8620","9200","8040","10180","9570","10720","9930","10350","11320","11640","12100","13080","13380","14070","15350",
"Middle East & North Africa","MEA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7852.81228624279","8158.15863274254","8562.38146671779","8811.88879636611","8898.20369238899","9140.39448143398","9430.10895825049","9716.83731482598","10198.0634028898","10278.9947925638","10835.1701664485","11064.6964728294","11134.4547626473","11672.1272222025","12712.6705588677","13486.0693907418","14461.386305347","15393.1453538735","15992.5597041081","15831.1134093597","16364.6957628097","16849.3356466823","17468.1382161107","17868.1562598634","18326.860469029","18742.8274773306","19612.7319724118","20007.4934184768",
"Mexico","MEX","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5840","6200","6450","8280","8660","7700","8100","8750","9090","9590","10200","10220","10290","10530","11180","11990","13010","13920","14520","14210","14910","15960","16420","16440","17130","16860","17160","17740",
"Marshall Islands","MHL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3250","2830","2730","2760","2810","3040","3270","3340","3380","3490","3740","3860","4090","4070","4000","4120","4280","4270","4580","4930","5400","5370","5560",
"Middle income","MIC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2503.19778970484","2578.62643793122","2642.74272648921","2793.55409200329","2896.79326968867","3037.13282664302","3202.48094211076","3365.22809984589","3419.16937017694","3560.31969436543","3811.85851284807","4014.69275550741","4228.09191181927","4515.35941653725","4966.64219515373","5443.48392082166","6093.81984314132","6766.32634694827","7308.67602080719","7536.00542222968","8126.14171960699","8762.50934414205","9311.40632488998","9802.79227089727","10385.7194939423","10791.9821604799","11317.4956101686","12011.3233805855",
"Macedonia, FYR","MKD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5190","5070","4740","4540","4600","4660","4780","4890","5090","5320","6010","5990","6230","6420","7040","7620","8550","8810","10290","10830","11130","11400","11580","12360","13120","13330","14150","14590",
"Mali","MLI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","820","930","890","920","940","940","1000","1030","1100","1150","1150","1270","1270","1410","1420","1520","1580","1640","1700","1730","1760","1810","1760","1800","1910","2000","2070","2160",
"Malta","MLT","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10040","10600","11090","11630","12210","13060","13710","15160","15590","17130","19010","19820","20670","20820","21360","21520","22390","24110","25530","24350","26380","27690","28240","29700","31700","34410","35230","36740",
"Myanmar","MMR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","480","490","540","580","630","680","720","770","810","900","1040","1160","1310","1510","1740","2020","2340","2680","2990","3310","3650","3900","4060","4460","4780","5160","5530","5830",
"Middle East & North Africa (excluding high income)","MNA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5161.25813527174","5103.71025974152","5335.91273881686","5501.59113586699","5560.72439247493","5752.15265515248","6007.9473159079","6235.57753027536","6626.62289147639","6843.52194483734","7204.72060410456","7444.6913142192","7657.46066127551","7872.87185798569","8569.37975907825","9091.91903563283","9779.94411276237","10519.3638557368","10953.8571847664","11058.4412552155","11491.553406712","11405.4831638973","11719.8482672433","11880.8090403873","12131.8127865774","12211.5767856365","13078.4488612193","13526.3687025026",
"Montenegro","MNE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6310","7120","7500","7760","8240","8410","10620","12590","14020","13050","13550","14590","14100","15160","15580","16690","17870","19150",
"Mongolia","MNG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3250","3070","2760","2680","2810","3040","3160","3310","3470","3600","3670","3840","4040","4350","4890","5270","5880","6490","7050","6830","6940","8150","9200","10470","10980","11160","11420","11170",
"Northern Mariana Islands","MNP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","240","250","230","240","260","260","330","370","400","430","430","480","470","550","580","630","670","730","780","840","870","940","1010","1070","1120","1170","1190","1200",
"Mauritania","MRT","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1710","1780","1800","1880","1810","1980","2220","2090","2120","2250","2200","2150","2290","2390","2520","2740","3090","3190","3240","3200","3200","3270","3400","3580","3750","3690","3760","3900",
"Mauritius","MUS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4730","5110","5500","5830","6070","6420","6790","7260","7680","7910","8720","9170","9440","9820","10640","11060","12390","13650","14470","14750","15800","16610","17470","18280","18740","19940","20990","22570",
"Malawi","MWI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","470","520","490","550","490","580","630","650","660","660","670","640","640","680","710","740","780","850","910","960","1000","1040","1040","1070","1120","1120","1140","1180",
"Malaysia","MYS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6530","7140","7720","8520","9270","10150","11080","11710","10690","11060","11880","12060","12740","13640","14710","15810","17160","18530","19280","18980","20020","21300","22160","23230","24640","25880","26900","28650",
"North America","NAC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23294.7959677534","23703.5990706496","24636.9957083698","25458.2843074907","26783.3981096366","27956.9771460603","29297.8962257163","30895.1276633759","32446.5632267662","34055.2274530336","36100.0974126981","37013.7659998808","37754.5058368517","39117.0805708684","41350.835673026","43824.7544618635","46414.0063983024","47484.6635325612","47762.8165573536","46350.9866192414","47930.6034113776","49725.9228216206","51715.8949908171","52936.5507654817","55016.1258401774","56483.5108430234","57201.3871453435","58737.1935574591",
"Namibia","NAM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3750","4120","4250","4210","4230","4470","4460","4580","4670","4650","4880","4920","5210","5670","6260","6360","7010","7490","7760","7710","7970","8490","8770","9510","10110","10570","10360","10320",
"New Caledonia","NCL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Niger","NER","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","560","580","540","540","550","560","570","580","620","610","590","630","630","650","650","680","710","730","780","750","790","800","860","880","940","950","970","990",
"Nigeria","NGA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1780","1790","1770","1710","1760","1850","1960","2000","1970","2060","1960","2130","2170","2350","3150","3250","3890","3980","4200","4340","4780","4970","5180","5390","5780","5880","5740","5680",
"Nicaragua","NIC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1900","1520","1420","1480","1780","1960","2110","2230","2350","2510","2630","2710","2760","2850","3060","3280","3430","3680","3930","3780","3940","4230","4530","4770","5040","5330","5550","5680",
"Netherlands","NLD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18730","19760","20320","21070","22170","23410","24560","25900","27190","29280","32100","32640","33840","34000","35860","37020","41230","43860","44990","44080","44900","46910","47670","49350","48480","49250","49930","52640",
"Norway","NOR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17930","18940","20160","21070","22610","24030","26490","28300","27850","30300","36460","37850","38070","38770","42580","48300","54130","55690","61400","55700","58560","62640","65920","67770","68100","64280","61640","63530",
"Nepal","NPL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","780","830","860","890","960","990","1030","1080","1100","1150","1220","1290","1280","1340","1420","1500","1590","1680","1790","1880","1960","2040","2160","2260","2430","2500","2520","2710",
"Nauru","NRU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5230","5560","6680","7520","8160","9650","12750","15790","16190","17510","17960",
"New Zealand","NZL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14250","13580","13950","14810","15930","16780","17090","17990","18440","19350","20290","21380","22130","22830","23670","24020","25900","27290","27700","29440","29710","31250","31610","34740","35730","36090","37190","39560",
"OECD members","OED","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16538.5721642689","17192.1530527323","17812.3853269863","18464.1634522746","19306.99072513","20022.3689684721","20947.6495368649","21973.6484419732","22793.2575342462","23726.0574696892","25292.9538473877","26088.6920940043","26850.5074089647","27623.3123112414","29160.0185452834","30598.4867689049","32719.7683059822","34108.2546064506","34835.0651187543","33956.5973586817","35350.9528476938","36858.1508032751","37935.0053894662","39158.5255536637","40327.3656672632","41270.4211361584","42140.4315262548","43725.3538214971",
"Oman","OMN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22060","23370","24350","25330","25870","27130","27970","29920","30700","31110","33500","35470","34420","34270","35150","35490","34810","39590","41210","41510","41710","39560","41270","41610","40220","41600","41750","40240",
"Other small states","OSS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12361.1930832336","13131.9093273147","15335.8276495116","17067.132440048","18206.9356887409","17982.071951879","19109.0904096808","20912.836639833","21690.0810477003","22564.6501472304","23134.9265292511","24220.9099447201","24691.8005281235","25170.5118201723",
"Pakistan","PAK","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2060","2130","2260","2290","2350","2470","2540","2530","2560","2630","2740","2790","2920","3130","3350","3650","3900","4110","4190","4280","4360","4500","4680","4860","5090","5310","5560","5830",
"Panama","PAN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4900","5280","5800","6270","6530","6520","6810","7140","7570","7730","8090","8120","8550","8640","9230","9980","10990","12270","13590","13560","13910","16080","17550","18560","19710","19500","20160","21890",
"Peru","PER","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3220","3430","3420","3580","4050","4350","4540","4850","4860","4930","5090","5200","5460","5670","5930","6340","6810","7520","8340","8450","9040","9670","10450","11250","11610","12100","12490","12890",
"Philippines","PHL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2550","2590","2630","2700","2840","2980","3160","3360","3580","3650","3920","4080","4220","4400","4720","5040","5340","5710","5990","6210","6610","6840","7350","7930","8410","8850","9390","10030",
"Palau","PLW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9070","9660","9920","10060","11040","12370","12090","12420","11590","11660","11520","12500","12940","12540","13170","14000","14330","13950",
"Papua New Guinea","PNG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1480","1640","1750","2070","2220","2170","2240","2190","2070","2050","2040","1990","1980","1930","2030","2230","2230","2540","2580","2720","2880","2960","3090","3210","3750","3890","3960","4040",
"Poland","POL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5600","5790","6170","6840","7410","8050","8770","9350","9880","10610","11080","11740","12140","12920","13660","14830","16280","17970","18700","20380","22110","23090","23970","24730","25690","26300","28170",
"Pre-demographic dividend","PRE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1450.94068348926","1250.8435387061","1241.70590252013","1269.59007981874","1280.97182421113","1349.93367687639","1434.14965859426","1523.28559716768","1623.48232612956","1708.56868402195","1705.1688814093","1775.64002879808","1773.96578998857","1723.04321558371","2089.65557640747","2218.59016247608","2491.75918731092","2622.7293744369","2781.1774713137","2845.41519484933","2989.51649101896","3100.25755223189","3260.29901966092","3338.83445090915","3537.86893527145","3629.95075517371","3690.80718657286","3714.7723562396",
"Puerto Rico","PRI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10150","10650","10960","11590","12040","12660","13090","13870","14230","15440","16500","16970","17170","17660","20060","20590","21310","22220","22120","21650","21720","22390","23640","24310","24810","25350","25240","",
"Korea, Dem. People’s Rep.","PRK","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Portugal","PRT","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11770","12750","13250","13280","13600","14500","14960","15730","16590","17630","18520","19160","20010","20580","21160","22390","23880","24880","25590","25500","26420","26260","25810","27520","28250","28720","29920","31490",
"Paraguay","PRY","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4360","4650","4660","4610","4490","4170","4220","4330","4130","4410","4590","5080","5740","6220","5850","6640","7120","6940","8020","8510","8690","9050","9180",
"West Bank and Gaza","PSE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2190","2310","2390","2910","3740","4360","3720","3350","3220","3510","3780","4300","4180","4160","3820","4340","4360","4670","5310","5090","5080","5700","5830","5560",
"Pacific island small states","PSS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2577.28583906","2624.09099386291","2766.04793938776","2830.53673964274","2947.60023821287","3116.59032720496","3209.61499080431","3328.2359273383","3367.55235815538","3558.42810892595","3679.39228654058","3726.18247676251","3856.35576745697","3917.5945197415","4166.46784070409","4349.12982190052","4380.23761428508","4488.54755834403","4552.35461595054","4477.47304419844","4527.50086156729","4719.800772468","4874.5978871917","5171.39553204056","5344.94536114196","5635.72036940673","5696.7996322852","5874.38653193905",
"Post-demographic dividend","PST","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17764.8207224681","18448.6971859072","19074.247984055","19568.9575577823","20456.3847727044","21296.4143078633","22263.6197827632","23345.606147376","24206.6704553043","25266.1400043325","26965.866397478","27944.9951190168","28838.4010959397","29770.1338934085","31453.6784254108","33018.3614889297","35290.9288396903","36775.3499761706","37523.8340158514","36550.2298885252","38012.6759020701","39528.148331986","40678.9447703208","42012.1117079044","43218.7304567216","44231.7577729675","45214.8795034735","46880.0503265543",
"French Polynesia","PYF","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Qatar","QAT","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93330","85220","102970","106010","108270","102410","109930","119120","119330","120290","121580","124760","126550","128060",
"Romania","ROU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5240","4780","4480","4660","4950","5420","5730","5550","5510","5560","5840","6540","7110","7640","8760","9440","11300","13350","16310","16240","16770","17700","18660","19430","20350","21060","22440","25150",
"Russian Federation","RUS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8000","7820","6790","6350","5710","5560","5440","5580","5220","5680","6650","7270","7880","8970","10010","11540","14480","16280","19600","18760","19860","23600","25000","25330","24950","24060","24130","24893.3603134085",
"Rwanda","RWA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","560","580","660","660","350","500","550","590","600","600","620","660","750","760","830","920","1010","1100","1210","1260","1330","1420","1530","1580","1680","1800","1880","1990",
"South Asia","SAS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1191.94700384179","1223.89991212838","1293.80952962101","1353.74154545825","1435.04076914203","1536.57879329415","1636.67823630741","1693.07978347374","1770.83884791932","1900.36116363088","1980.73224450779","2076.78689179606","2157.92328169401","2324.80047429012","2523.51134098237","2785.68472511326","3068.16707457053","3387.87737215478","3530.58833461745","3772.58255715453","4087.14884856622","4379.10496069922","4632.0631294143","4919.56879052883","5286.39599901173","5675.28059897275","6059.5985941458","6538.40864043476",
"Saudi Arabia","SAU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28490","32180","32950","32650","32250","32560","32830","33090","34080","32760","34300","33950","32480","35670","38550","40880","42210","43170","45630","43920","45100","49220","51240","52020","53570","55380","55840","54770",
"Sudan","SDN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1040","1050","1140","1220","1260","1340","1440","1590","1630","1640","1710","1790","1890","1980","2060","2240","2500","2770","2970","2990","3040","3480","3820","2700","3990","4150","4290","4481.86802721856",
"Senegal","SEN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1150","1180","1200","1200","1180","1250","1280","1310","1380","1440","1490","1550","1540","1650","1750","1860","1920","2010","2070","2060","2110","2120","2180","2220","2280","2370","2480","2620",
"Singapore","SGP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21970","23430","25290","27550","30940","32990","34190","37390","35550","37870","40730","39990","41190","44220","47330","51530","57880","62440","60590","58800","70250","73260","74530","78540","83190","83760","84500","90570",
"Solomon Islands","SLB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","830","930","990","930","1020","1080","1050","1690","1690","1670","1440","1330","1260","1340","1420","1500","1620","1610","1560","1260","1340","1490","1890","2060","2110","2220","2210","2270",
"Sierra Leone","SLE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","720","780","630","690","650","660","700","670","660","660","700","650","800","850","890","920","960","1110","1200","1230","1190","1230","1470","1700","1740","1380","1310","1480",
"El Salvador","SLV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2850","2990","3300","3580","3850","4120","4220","4430","4600","4710","4900","5070","5200","5360","5600","5970","6410","6800","7150","6850","6990","7230","7270","7470","7720","8050","8260","7540",
"San Marino","SMR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Somalia","SOM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Serbia","SRB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5570","5770","5150","5730","6150","6770","7150","8000","8600","9480","10260","11590","11640","11810","12670","12660","13190","13210","13210","13670","14040",
"Sub-Saharan Africa (excluding high income)","SSA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1528.36890701426","1542.5394411112","1492.92397346601","1491.59397949012","1511.69355184933","1586.23590286658","1665.39548653245","1719.06838110343","1725.23730873727","1755.89070237014","1769.6051325562","1841.58221742588","1889.54683676178","1961.06406623179","2193.8784753796","2330.40928225175","2573.88469538733","2716.63700370869","2835.47689098075","2879.6987831566","3018.51908957941","3136.49551103942","3239.10725446682","3319.51506268596","3522.13073758164","3606.42488832426","3615.00210403248","3681.00007198571",
"South Sudan","SSD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2130","1520","1870","1840","1830","1440","",
"Sub-Saharan Africa","SSF","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1529.36278772654","1543.58310423052","1494.07367281962","1492.82150840238","1512.91979495003","1587.389585006","1666.60891566146","1720.44796894106","1726.70348703025","1757.3571752537","1771.07193295223","1843.04110156926","1890.87905542792","1962.35277064225","2195.21738499203","2331.88915256284","2575.50800138813","2718.28122715434","2837.0202595246","2881.22638372288","3020.13152787261","3138.22591292717","3240.86824591825","3321.38141765244","3524.03648090102","3608.39893265672","3617.05569664688","3683.09312875292",
"Small states","SST","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9611.36892411704","9989.64614219256","10396.6335941612","10859.7870875631","11434.6698048463","12153.4424852501","14016.6516064416","15451.7158261328","16402.5352048696","16143.4770395498","17069.1860622037","18417.6394724897","19223.8181349593","20005.7771601964","20509.973964536","21479.9797245073","21800.5922394642","22207.0180003812",
"Sao Tome and Principe","STP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1560","1590","1720","1780","1940","2230","2330","2430","2450","2600","2700","2720","2910","3110","3130","3250","3370",
"Suriname","SUR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6660","6930","6990","6650","6800","6980","7150","7500","7600","7160","7700","6290","7730","8230","8970","10170","11240","12240","12940","13230","13590","14010","14820","15550","15910","15640","14460","14290",
"Slovak Republic","SVK","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8690","9430","10070","10610","10640","11300","12380","13240","13430","14590","16160","18300","20530","23250","22900","24430","24900","26140","27640","28560","28990","30030","31360",
"Slovenia","SVN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13700","14390","15340","16080","17140","18080","19030","20210","20980","22550","23800","25530","27060","28940","27100","27510","28580","28640","29400","30570","30520","31810","33910",
"Sweden","SWE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19900","20050","19900","19720","21130","22420","23260","24150","25310","27090","29280","29670","30650","32060","33770","34480","38460","41870","43380","40670","42850","44720","45830","46720","47520","48510","49460","50840",
"Swaziland","SWZ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3660","3770","3910","3930","3850","4280","4580","4690","4560","4770","4720","5050","4990","5140","5550","6340","6500","6910","6890","6790","6780","7280","7630","8220","8310","8340","8310","8520",
"Sint Maarten (Dutch part)","SXM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Seychelles","SYC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8860","9350","10280","10930","10950","10580","11240","12760","13530","13650","13870","14200","13140","13270","14320","16030","17690","18380","17630","17880","18840","20990","21730","23090","23950","24870","26030","26860",
"Syrian Arab Republic","SYR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Turks and Caicos Islands","TCA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chad","TCD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","710","780","840","680","750","760","760","780","830","800","780","850","890","860","1150","1350","1340","1410","1400","1630","1820","1820","1950","1980","2090","2130","1990","1920",
"East Asia & Pacific (IDA & IBRD countries)","TEA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1427.9247105714","1566.43662901607","1742.44155516526","1948.4555092","2177.26654504605","2386.01827181317","2613.73089040877","2807.37247980425","2820.03589493731","2994.04644441677","3275.78811947552","3547.50585113007","3857.98713454338","4238.06111030304","4702.34491201516","5242.38392090469","5951.91168747865","6803.98765349766","7477.03936330787","8001.47593935039","8797.41535055742","9620.50480576304","10486.6213256579","11276.1650896797","12238.7584765641","13024.5224770873","13929.364468924","15001.0522966601",
