"Data Source","World Development Indicators",

"Last Updated Date","2018-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Cote d'Ivoire","CIV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1760","1790","1780","1760","1810","1920","2080","2160","2260","2270","2120","2070","2010","1930","2070","2300","2350","2410","2470","2510","2540","2410","2670","2850","3140","3350","3590","3820",
"Cameroon","CMR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1870","1770","1710","1590","1600","1640","1700","1770","1850","1920","1940","2000","2090","2220","2400","2450","2580","2680","2770","2810","2840","2940","3030","3150","3340","3450","3540","3640",
"Congo, Dem. Rep.","COD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","820","650","650","580","510","500","530","490","480","440","450","420","430","460","480","510","540","560","570","590","620","650","680","700","760","800","850","870",
"Congo, Rep.","COG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2760","2860","3040","2780","2770","1940","1980","2420","2620","2320","2510","2580","2730","2800","2660","2800","2960","3010","3360","3460","3820","3870","4140","4320","4830","5840","5330","4880",
"Colombia","COL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4620","4830","5100","5300","5720","6050","6160","6380","6410","6150","6440","6580","6740","6990","7460","7950","8640","9350","9740","9890","10260","10970","11570","12250","12950","13560","14030","14170",
"Comoros","COM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1030","980","1070","1090","1020","1050","1030","1060","1050","1060","1180","1200","1210","1230","1260","1300","1350","1370","1360","1370","1380","1410","1440","1490","1510","1510","1540","1570",
"Cabo Verde","CPV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1080","1100","1220","1320","1550","1760","1940","2140","2380","2610","2960","3080","3190","3350","3730","3990","4360","5200","5560","5480","5460","5760","5840","5960","5930","6070","6290","6570",
"Costa Rica","CRI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4860","5070","5530","5910","6220","6410","6470","6760","7040","6560","7460","7760","8000","8380","8880","9420","10360","11410","12090","11740","12320","12940","13680","13980","14540","15020","15660","16100",
"Caribbean small states","CSS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5596.64927514979","5797.84166474883","5960.25808723239","6379.30836845326","6626.24017138019","7092.72424335565","7543.91432245235","7425.83988717407","7656.40849665214","7980.28007638883","8358.53869905514","8557.1573423988","9054.30268956674","9782.74154399927","10516.2251792254","11182.9402907851","12383.5472677768","13115.1975635732","13572.0796274796","13030.5229053673","13380.0093659573","13259.5151736251","14253.000207644","14702.4856579691","14924.2508286592","15516.0229965266","15173.4968850863","15217.9031388922",
"Cuba","CUB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
